QID	nDCG@10	MRR	Rel_Found
1090019	0.3333	0.1429	7079161
1101257	0.0000	0.0000	
1090018	0.0000	0.0000	
1090017	0.0000	0.0000	
1090015	0.0000	0.0000	
1090014	0.3562	0.1667	7079206
1090013	0.0000	0.0000	
1090012	0.0000	0.0000	
1090011	0.0000	0.0000	
1090010	0.0000	0.0000	
1090009	0.0000	0.0000	
1090007	0.0000	0.0000	
1090005	0.0000	0.0000	
1090004	0.0000	0.0000	
1090003	0.0000	0.0000	
1089997	0.0000	0.0000	
1101255	0.0000	0.0000	
1089996	0.0000	0.0000	
1089994	0.0000	0.0000	
1089993	0.0000	0.0000	
1089992	0.0000	0.0000	
1089991	0.0000	0.0000	
1089990	0.0000	0.0000	
1089988	0.0000	0.0000	
1089987	0.0000	0.0000	
1089986	0.0000	0.0000	
1089985	0.0000	0.0000	
1089983	0.0000	0.0000	
1089982	0.0000	0.0000	
1089980	0.0000	0.0000	
1089979	0.0000	0.0000	
1089977	0.0000	0.0000	
1089976	0.0000	0.0000	
1101253	0.3562	0.1667	7079583
1089972	0.0000	0.0000	
1089971	0.6309	0.5000	7079606
1089970	0.0000	0.0000	
1089969	1.0000	1.0000	7079628
1089968	0.3155	0.1250	7079637
1089966	0.0000	0.0000	
1089965	0.0000	0.0000	
1089964	0.0000	0.0000	
1089961	0.0000	0.0000	
1089959	0.0000	0.0000	
1089958	0.0000	0.0000	
1089956	0.0000	0.0000	
1089955	0.2891	0.1000	7079774
1089954	0.0000	0.0000	
1089953	0.0000	0.0000	
1089952	0.0000	0.0000	
1101250	0.0000	0.0000	
1089951	0.0000	0.0000	
1089950	0.0000	0.0000	
1089949	0.0000	0.0000	
1089948	0.0000	0.0000	
1089947	0.0000	0.0000	
1089946	0.0000	0.0000	
1089945	0.0000	0.0000	
1089944	0.0000	0.0000	
1089942	0.0000	0.0000	
1089941	0.0000	0.0000	
1089940	0.0000	0.0000	
1089939	0.0000	0.0000	
1089938	0.0000	0.0000	
1089937	0.0000	0.0000	
1089935	0.0000	0.0000	
1089933	0.0000	0.0000	
1089932	0.0000	0.0000	
1089931	0.0000	0.0000	
1089930	0.0000	0.0000	
1089929	0.0000	0.0000	
1089925	0.0000	0.0000	
1089923	0.0000	0.0000	
1089922	0.0000	0.0000	
1089921	0.0000	0.0000	
1089919	0.0000	0.0000	
1089918	0.0000	0.0000	
1089917	0.0000	0.0000	
1089907	0.0000	0.0000	
1089906	0.0000	0.0000	
1089903	0.0000	0.0000	
1089901	0.0000	0.0000	
1089899	0.0000	0.0000	
1089898	0.0000	0.0000	
1089896	0.5000	0.3333	7080300
1089895	0.0000	0.0000	
1089894	0.0000	0.0000	
1089893	0.0000	0.0000	
1089891	0.6309	0.5000	7080367
1089890	0.0000	0.0000	
1089889	0.0000	0.0000	
1089887	0.0000	0.0000	
1089886	0.0000	0.0000	
1089885	0.0000	0.0000	
1089884	0.0000	0.0000	
1089883	0.3869	0.2000	7080451
1089882	0.3010	0.1111	7080460
1101236	0.0000	0.0000	
1089881	0.3562	0.1667	7080479
1089880	0.0000	0.0000	
1089879	0.0000	0.0000	
1089878	0.0000	0.0000	
1089877	0.0000	0.0000	
1089874	0.3869	0.2000	7080541
1089873	0.0000	0.0000	
1089872	0.3869	0.2000	7080561
1089871	1.0000	1.0000	7080564
1101235	0.0000	0.0000	
1089869	0.0000	0.0000	
1089868	0.0000	0.0000	
1089867	0.0000	0.0000	
1089866	0.0000	0.0000	
1089863	0.0000	0.0000	
1089862	0.0000	0.0000	
1089861	0.0000	0.0000	
1089860	0.0000	0.0000	
1101233	0.0000	0.0000	
1089852	0.0000	0.0000	
1089851	0.0000	0.0000	
1089847	0.0000	0.0000	
1101231	0.0000	0.0000	
1089846	0.0000	0.0000	
1089845	0.0000	0.0000	
1089844	0.0000	0.0000	
1089843	0.0000	0.0000	
1089839	0.0000	0.0000	
1089837	0.0000	0.0000	
1089836	0.0000	0.0000	
1089834	0.0000	0.0000	
1089833	0.0000	0.0000	
1089832	0.0000	0.0000	
1089830	0.0000	0.0000	
1089825	0.0000	0.0000	
1089824	0.0000	0.0000	
1089823	0.0000	0.0000	
1089822	0.0000	0.0000	
1089821	0.0000	0.0000	
1101229	0.0000	0.0000	
1089820	0.0000	0.0000	
1089819	0.0000	0.0000	
1089817	0.0000	0.0000	
1089815	0.0000	0.0000	
1089814	0.0000	0.0000	
1089813	0.0000	0.0000	
1089812	0.0000	0.0000	
1089810	0.0000	0.0000	
1101228	0.0000	0.0000	
1089808	0.0000	0.0000	
1089807	0.0000	0.0000	
1089806	0.0000	0.0000	
1089805	1.0000	1.0000	7081193
1089804	0.0000	0.0000	
1089803	0.0000	0.0000	
1089802	0.0000	0.0000	
1089799	0.0000	0.0000	
1101227	0.0000	0.0000	
1089798	0.0000	0.0000	
1089796	0.0000	0.0000	
1089795	0.0000	0.0000	
1089794	0.0000	0.0000	
1089793	0.0000	0.0000	
1089792	0.0000	0.0000	
1089791	0.0000	0.0000	
1089790	0.0000	0.0000	
1089789	0.0000	0.0000	
1089787	0.0000	0.0000	
1089786	0.0000	0.0000	
1089784	0.0000	0.0000	
1089783	0.0000	0.0000	
1089782	0.0000	0.0000	
1089781	0.0000	0.0000	
1089779	0.0000	0.0000	
1101225	0.0000	0.0000	
1089776	0.0000	0.0000	
1089775	0.0000	0.0000	
1089774	0.0000	0.0000	
1089773	0.0000	0.0000	
1089772	0.0000	0.0000	
1089771	0.0000	0.0000	
1089770	0.0000	0.0000	
1089767	0.0000	0.0000	
1089765	0.0000	0.0000	
1101224	0.0000	0.0000	
1089763	0.0000	0.0000	
1089762	0.0000	0.0000	
1089760	0.0000	0.0000	
1089759	0.0000	0.0000	
1089757	0.0000	0.0000	
1089756	0.0000	0.0000	
1089755	0.0000	0.0000	
1089754	0.0000	0.0000	
1089752	0.0000	0.0000	
1089750	0.0000	0.0000	
1089749	0.3333	0.1429	7081747
1089747	0.0000	0.0000	
1089744	0.0000	0.0000	
1089743	0.0000	0.0000	
1089739	0.0000	0.0000	
1089738	0.0000	0.0000	
1089737	0.0000	0.0000	
1089736	0.0000	0.0000	
1089734	0.0000	0.0000	
1089733	0.0000	0.0000	
1089732	0.0000	0.0000	
1089730	0.0000	0.0000	
1101221	0.0000	0.0000	
1089728	0.0000	0.0000	
